127.0.0.1 - - [26/Mar/2020:15:29:48 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:29:50 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:29:50 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:29:50 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:29:50 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:30:03 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:30:03 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:30:03 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:30:03 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:30:04 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:32:12 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6003
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:32:12 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:32:12 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:32:13 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:32:17 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:37:39 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6003
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:37:41 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:41:15 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:41:20 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:41:21 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:42:29 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:42:31 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:42:33 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:42:56 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:43:47 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:53:49 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:53:58 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:58:13 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:58:13 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:58:13 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:58:14 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:15:58:17 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:02:31 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:02:31 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:02:31 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:02:31 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:02:36 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:04:39 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [26/Mar/2020:16:04:43 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6210
